gene,label
UNC119,NA
SLA2,NA
SH2D3C,NA
SHB,NA
TUBA4A,NA
VAV3,NA
DEF6,NA
CD2AP,NA
LAX1,0
PTPRH,1
LIFR,1
MTOR,1
OSM,NA
HRAS,1
GHSR,NA
MC3R,NA
DRD1,NA
HTR2C,NA
GNAI2,NA
GHRL,NA
GPR83,NA
SSTR5,NA
ARRB1,NA
HNRNPK,NA
DAPP1,NA
HCK,NA
CHST15,NA
VAV2,NA
CD79A,1
CD79B,1
LAT2,NA
BTK,1
PIP4K2C,NA
PIP4K2B,NA
IGHM,NA
CD22,NA
PIP5K1A,NA
PTPN18,NA
STAP1,NA
PIP5K1B,NA
PRKD1,NA
FCGR2B,1
BLK,NA
PRKCB,1
GTF2I,NA
CRHR1,NA
GNAS,1
GNA11,1
GNAO1,NA
GRK6,NA
GNAI1,NA
FBXW5,NA
ELP1,0
PPP6C,1
IRAK4,NA
IL1RAP,NA
TAB3,NA
PELI1,NA
CSNK2B,NA
XPO1,1
RAN,NA
LRRC59,NA
FIBP,NA
SPHK1,NA
AGER,NA
MSN,1
ROCK1,NA
STAT5B,1
RPS6KB1,NA
NMI,NA
ITM2B,NA
IL2RA,NA
VIL1,NA
FES,1
SOCS2,0
BCL2L11,NA
TCF4,NA
GAST,0
NCOA3,1
SND1,1
IL4,NA
SOCS1,1
HIST3H3,NA
SOX4,NA
MAP2K4,1
NLK,0
IL7,NA
RNF14,NA
PPP1CA,NA
TRIM68,NA
CDC37,NA
SRY,NA
AES,NA
KAT2B,0
SLC25A4,NA
DDX5,1
PRMT2,0
RNF4,NA
NSD1,1
EFCAB6,0
SVIL,NA
ZMIZ1,NA
TMF1,NA
FHL2,NA
CDC25B,NA
NELFCD,0
NSD2,1
FOXA1,1
KDM4C,NA
KDM3A,1
PATZ1,1
HSPA4,NA
BAG1,NA
BRINP1,NA
MAGEA11,NA
RBAK,NA
COX5B,NA
ZMIZ2,NA
KAT7,1
GTF2H1,NA
NCOA4,1
TGFB1I1,NA
CDC25A,NA
LAMTOR5,NA
SPDEF,NA
NONO,1
TGIF1,NA
SIN3A,NA
DDC,NA
PRMT1,NA
PIAS4,NA
PNRC1,NA
SF1,NA
PRDX1,NA
LPXN,NA
SNURF,0
AHR,NA
DAPK3,NA
RAC3,NA
DBT,NA
NR2C2,NA
GSN,NA
CYLD,1
ATP6V1E1,NA
TRAF5,NA
IRS4,1
PDE3A,NA
CRP,1
ATP1A1,1
TSHR,1
GNAI3,NA
FSHR,NA
TNFSF12,NA
TNFRSF12A,NA
CD163,NA
MAGEA1,NA
CIR1,NA
FHL1,NA
MAML2,1
MAML3,NA
SAP30,NA
MAML1,NA
FBXW7,1
SKP1,NA
RING1,NA
FLOT1,NA
FLOT2,NA
RPS6KA1,NA
RPS6KA2,NA
INPPL1,NA
REPS2,NA
CBLC,1
RGS16,NA
ARF4,NA
KRT18,NA
MTA2,NA
APPL2,NA
MAP2K3,NA
HIP1,1
FRS2,NA
PLCE1,NA
CAV2,NA
SH3GL3,NA
DNM1,NA
EEF1A1,NA
ZPR1,NA
MAPK7,NA
PTPRR,NA
RALBP1,NA
RALB,NA
PRKAR1A,1
TNK2,NA
CDC42,NA
PIK3C2B,NA
IL17RD,NA
ERRFI1,NA
PITPNA,NA
PKN2,NA
PLD2,NA
IQGAP1,NA
CC2D1A,NA
KRAS,1
MAP3K1,1
GRB14,NA
RALGDS,1
GRB7,NA
RAB5A,NA
RIN1,0
FRS3,0
PLSCR1,NA
KRT17,NA
KRT8,NA
MAP2K5,NA
PRKCI,NA
KRT7,NA
SNRPD2,NA
ATXN2,NA
PTPN23,NA
TNIP1,NA
MAP2K7,NA
MAP3K4,NA
ELK4,1
ID3,1
ID2,NA
ELK3,NA
ID4,NA
RBL2,NA
PAX5,1
PSMD4,NA
PPIB,NA
CAMLG,NA
YWHAG,NA
NEK3,NA
THRB,NA
CENPJ,NA
MATK,NA
FGR,NA
SPRED1,NA
SPRED2,NA
TRIM33,1
SNX4,NA
SNX6,NA
VDR,1
SNIP1,NA
PPM1A,NA
XPO4,NA
CTCF,1
NUP214,1
VPS39,NA
ZFYVE9,NA
DCP1A,NA
NFYC,NA
NFYB,NA
ZEB2,NA
AP2B1,NA
DYNLRB1,NA
STRAP,NA
CDC16,NA
EID2,NA
CDC27,NA
HOXA9,1
PPP2R2A,0
MAP2K6,NA
E2F5,NA
TGFB3,NA
PRKAR2A,NA
PRKAR1B,NA
IRF2BP1,NA
HNF4A,NA
SOX9,1
FZR1,0
CD44,1
EIF3I,NA
STK11,1
STK11IP,NA
NFYA,NA
ZEB1,1
DYNLRB2,NA
NUP153,NA
PJA1,NA
ZFYVE16,NA
OLIG1,NA
ING2,NA
LINGO1,NA
SORT1,NA
SHC4,NA
NSF,NA
FZD4,NA
PRKCG,NA
WNT1,NA
FZD9,NA
WNT2,NA
FZD6,NA
SFRP1,NA
SOX1,NA
DVL1,NA
FZD7,NA
WNT3,NA
PI4K2A,NA
FZD3,NA
BCL9,1
WNT4,NA
LRP1,NA
WNT7A,NA
FZD5,NA
ROR1,NA
DIXDC1,NA
HSP90AB1,1
IKBKB,1
NFKBIB,NA
IQGAP2,NA
PSMC2,NA
TRADD,NA
KPNA3,NA
PSMB5,NA
FAF1,NA
PSMC1,NA
POLR1E,0
POLR1C,NA
KCNQ1,NA
RPS13,NA
RPL6,NA
IKBKE,NA
TANK,NA
FKBP5,NA
NUPR1,NA
EED,1
SMPD3,0
KPNA6,NA
RASAL2,NA
G3BP2,0
TNIP2,NA
COMMD1,NA
PSMD1,NA
PSMD12,NA
PSMD6,NA
TRAF4,NA
RPS11,NA
SMARCC1,NA
PSMD13,NA
PSMD3,NA
COPB2,NA
COPS3,NA
UNC5CL,NA
SMARCC2,NA
PPP1R13L,NA
AKAP8,NA
ACTL6A,NA
RPL8,NA
FBL,NA
RPL30,NA
RPL4,NA
DPF2,NA
TRAF7,1
SEC16A,NA
TRPC4AP,NA
KTN1,1
TRIB3,NA
ROMO1,0
RNF11,NA
PSMD7,NA
PSMC3,NA
POLR1A,NA
PDCD2,NA
PFDN2,NA
MCC,NA
LRPPRC,NA
MTIF2,NA
USP2,0
CASP2,NA
MAP4K2,NA
USP11,NA
GLG1,NA
PAPOLA,NA
POLR1D,NA
RFK,NA
PSMD2,NA
DDX3X,1
TRIM32,NA
MCM7,NA
MCM5,NA
RNF25,NA
ALPL,NA
POLR2H,NA
POLR2L,NA
POLR1B,NA
DCAF7,0
MARK2,NA
RPS6KA5,NA
NFKBIZ,NA
IGF1,1
SLC9A1,NA
ADRB2,NA
GFAP,NA
ACO2,NA
SF3A1,NA
NR1H4,NA
PPP1R12C,NA
SEC24B,NA
OPTN,NA
MEA1,NA
TAF15,1
PWP2,0
DUOX2,NA
PRKACA,1
GATA3,1
PRG2,NA
VPS35,NA
EIF4A3,0
RNF2,NA
H3F3A,1
H3F3B,1
CIITA,1
SLC25A12,NA
CTSL,NA
DUSP10,NA
TCL1A,1
BYSL,NA
PDE4DIP,NA
UBB,NA
IMP3,NA
MYH10,NA
DHX58,NA
CLIP3,NA
PHF7,0
FBXO17,NA
CHD4,1
ZFR,NA
POLR2F,NA
MORF4L1,NA
ING3,NA
RPL21,NA
SIVA1,0
JMJD6,NA
NLRP12,NA
COPS7B,NA
WASF3,NA
RPL28,NA
MAPK10,NA
RPL31,NA
BZW1,0
ZMYND10,NA
SNCG,NA
IRF5,NA
BST2,NA
LILRA4,NA
NLRP1,NA
OGDHL,NA
TUBAL3,0
RHEB,NA
EXOC2,NA
RALA,NA
RRAGC,NA
ACTN3,NA
COPS2,0
YBX3,0
TYRO3,NA
CUEDC2,NA
RORA,NA
PSMC5,NA
IRF9,0
PPP3CA,NA
MRPL1,NA
RPS3,NA
SNRNP200,NA
ELAVL1,NA
IRF1,NA
DDX58,NA
LMO7,NA
SMARCD3,NA
TMEM11,0
TRIP6,NA
DNAJA3,NA
ELANE,NA
ALAS2,NA
APCS,NA
MBL2,NA
LIMA1,NA
RANBP2,1
PC,NA
PTBP1,NA
ADAP1,0
RPL3,NA
MMP12,NA
EMD,NA
STK16,0
CALM1,NA
ISG20,NA
GCC1,NA
ATF4,NA
NLRP2,0
XAF1,NA
PLOD1,NA
CEBPD,NA
WBP11,NA
CD274,1
PDCD1,NA
MAPKAPK5,NA
MAPK11,0
EZH2,1
GABARAPL2,NA
NEU1,NA
SREBF2,NA
PLA2G6,NA
GPS2,NA
MAP3K7CL,0
MAPKAPK2,NA
TPH1,NA
KCTD10,NA
RHOB,NA
ADRB1,NA
ERMN,NA
FUBP3,NA
COPB1,NA
KIFC3,NA
PAFAH1B3,NA
LNX1,NA
TUFM,NA
ELOF1,0
TLR9,NA
SIKE1,0
GZMB,NA
LEMD3,NA
CCDC50,NA
NOL7,NA
G3BP1,NA
CD46,0
HMGA1,1
SNX9,NA
PGM1,NA
KRTAP10-7,0
NSA2,0
GAPDH,NA
ATG16L1,NA
BIK,NA
BCL2A1,NA
S100A7,1
TBX21,NA
INA,0
STAU1,NA
SF3B1,1
MAP3K11,NA
PNO1,0
EPC1,NA
PADI2,NA
FLG,NA
APOB,NA
DDIT3,1
SRSF1,NA
CBX8,NA
RPS20,NA
CLN6,NA
SEC61A1,NA
EIF3G,NA
MYSM1,NA
HSP90B1,NA
VPS37C,NA
CCR2,NA
TCP1,NA
KSR2,NA
TRIM23,NA
SORBS3,NA
SLC23A1,NA
GYS1,NA
SAP18,NA
SRSF10,NA
MVP,NA
ZNF326,NA
IRF2,NA
RPL13A,0
HNRNPUL2,0
NSFL1C,0
UBC,NA
CEP44,0
POLR2B,0
ANXA5,NA
PGLYRP1,0
DCAF16,0
UBE4B,NA
CD9,NA
PTAFR,NA
AQP1,NA
ZBTB16,1
MICALL2,0
ACTN2,NA
LTA,NA
MRTO4,0
BHLHE40,NA
NOXA1,NA
KCNJ4,NA
PLA2G4A,NA
EIF2AK2,0
AANAT,NA
COPG1,NA
GADD45G,NA
FCN2,NA
PTX3,NA
WDR33,NA
SMCHD1,NA
CCNG2,NA
RPL38,NA
ACYP2,NA
HPX,NA
SLC25A5,NA
SRSF8,NA
NOX1,NA
RARRES2,NA
DMAP1,0
DYNC1LI1,NA
MS4A2,NA
GZMA,NA
HSPB7,NA
MAPK13,0
MCM10,NA
BLMH,NA
NUDT12,0
ZC3HC1,0
ARL2,NA
HNRNPDL,NA
CEBPE,NA
RPS24,NA
CSNK1E,NA
KRT14,NA
USF1,NA
RPL22,1
NLGN1,NA
AZI2,NA
QARS,NA
A2M,0
RGS14,NA
KRT40,NA
CD33,NA
HNRNPA2B1,1
RPS15A,NA
ERCC2,1
SART3,NA
CCNB3,NA
PLEKHG2,NA
LAPTM5,NA
ABLIM1,0
RCAN1,NA
STMN1,NA
RBM47,0
REST,NA
AGTR2,NA
AIFM1,NA
MTF2,NA
MASP2,NA
FCN1,NA
PLRG1,NA
BECN1,NA
HERC6,0
HERC3,NA
COPS6,NA
RPS8,NA
BCL11B,1
SON,NA
SNCB,NA
AHCY,NA
APPBP2,NA
KDM2B,NA
TMSB4X,NA
CEP57,NA
MYLPF,NA
IFI16,NA
TPM4,1
GK,NA
NR4A1,NA
ARHGEF28,0
ZNF433,0
ALOX5,NA
MFN2,NA
GPSM2,NA
EIF3B,NA
SNRPD3,NA
SNAI2,NA
GPRASP1,NA
HINT1,NA
WEE1,NA
PABPC3,0
BMX,NA
CSRP1,NA
RPL23,NA
VPS52,NA
AAMP,NA
HP1BP3,NA
ALDH3A2,NA
RYR1,NA
ACTN4,NA
UBXN1,NA
ANXA11,NA
CEP55,NA
FMR1,NA
SDF2L1,NA
DNAH1,NA
PTPN7,NA
PHC3,0
AMIGO2,NA
CACNA1A,NA
RPS17,NA
IL17RA,NA
GEMIN5,NA
NEBL,NA
FHL3,NA
EIF2S2,NA
LASP1,1
CDK5RAP2,NA
DOCK7,NA
NDUFA5,NA
DEFA1,NA
DEFA1B,0
PRKAA1,NA
NUP205,NA
RNF5,NA
ERAP1,NA
RBMX,NA
TNFRSF13B,NA
TBX2,NA
CDC40,NA
SART1,NA
DHX30,NA
AP1S2,NA
NUP160,NA
LRRFIP1,NA
SRCAP,NA
OCIAD2,0
HDX,NA
TELO2,NA
MYH9,1
RAB4B,NA
KRT16,NA
LGALS9,NA
ITIH4,NA
CBX3,NA
KRT85,NA
RNF31,NA
ATP5MD,0
TFPT,1
ATP6V0C,NA
MCMBP,NA
DCAF1,NA
DEFB1,NA
MMP7,1
HAUS1,NA
EIF1AX,1
SLC25A11,NA
SERPINB5,0
ATP5PO,0
CEP70,NA
ZFP91,NA
EFTUD2,NA
NUMA1,1
SRSF7,NA
ATF1,1
AP1B1,NA
TXNRD1,NA
ALAS1,NA
SH2D4A,NA
SOCS6,NA
TPT1,NA
PKM,NA
HIST1H2AE,NA
HIST1H2AB,NA
SERPINA3,NA
ADAMTS4,NA
MDFI,NA
SIX1,1
EIF3E,1
IFIT1,NA
SERPINB3,NA
TLR10,NA
CXCL6,NA
GOLGA4,NA
EEF1G,NA
MYH1,NA
RPN1,1
AMBRA1,NA
CXCL1,NA
PIGR,NA
DMTN,0
BCLAF1,1
ILF2,0
RALY,0
ETV3,NA
PRMT6,NA
LMO2,1
TUBA1A,NA
SGK1,1
CCL20,NA
VCAN,NA
ANKFY1,NA
ARL4D,NA
ATXN2L,NA
IRF2BP2,NA
SF3B2,NA
ANXA1,NA
ARF1,NA
FBXO2,NA
TLE3,NA
CTSG,NA
CCL14,NA
TCEAL5,0
NOP2,0
PFN1,NA
DYRK2,NA
CARHSP1,NA
CEBPG,NA
RIPK4,NA
SLC25A6,NA
MID2,NA
KRT1,NA
SRSF9,NA
RASL12,0
GEMIN4,NA
SPRY1,NA
RAD21,1
ULK2,NA
ATG13,NA
FUT7,NA
POLR2A,NA
ERGIC1,NA
SYCP2L,NA
FTH1,NA
U2AF2,NA
CDK11A,NA
CCNL1,NA
TRIM24,1
SLC25A10,NA
WIZ,0
DUSP16,NA
NASP,NA
CARD10,NA
IK,NA
GNL3L,NA
ACTA1,NA
FSCN1,NA
HGS,NA
AKT1S1,NA
PAPSS2,NA
DAPK1,NA
SDCBP2,NA
LTF,NA
DYNLL1,NA
MYH14,NA
FMNL1,0
PELI3,NA
BMP2,NA
CARD6,NA
TMED7,0
OPN1LW,NA
THRA,NA
FOXJ1,NA
DDX52,NA
DAP3,NA
DYNC1I1,NA
RRAGB,NA
RRAGD,NA
NEK1,NA
KMT2A,1
MEN1,1
PRSS23,0
LGALS3BP,NA
CD248,NA
EGLN3,NA
PGAM1,NA
HS3ST1,NA
RAC2,NA
DAB2IP,NA
CNOT7,NA
MTUS2,NA
MAL,NA
GCN1,0
CSPG4,NA
RPL13,NA
CREBZF,NA
SLC39A14,NA
RPS3A,NA
GORAB,NA
SNAI1,NA
EEF2K,NA
EEF2,NA
NQO2,NA
STAB2,0
AIMP1,NA
ATP5F1C,0
ARGLU1,NA
SDCCAG8,NA
MYLK,NA
HIBADH,NA
BICD1,NA
DIRAS1,NA
EEF1B2,NA
MAP4,NA
COPS8,NA
MRPS17,NA
NDUFAF1,NA
TICAM2,0
ADAR,NA
DAD1,NA
RUSC1,NA
IRAK3,NA
ZNF576,0
NOX4,NA
ACVR2B,NA
OPA1,NA
SSR4,NA
MSI2,1
PACSIN2,NA
OFD1,NA
SPARC,NA
TOMM70,0
PAK3,NA
PLK4,NA
RPL10,1
THRAP3,1
LDOC1,NA
ZFP36,NA
HSPA1A,NA
CAT,NA
SF3B3,NA
PGD,NA
NIPSNAP3A,NA
KRT31,NA
RECQL,NA
RCC1,0
CCDC85B,0
TCEANC,0
AKT3,1
MAP3K20,0
EPB41L5,NA
ANKS6,NA
PDE4D,NA
POU2F1,0
TRIM56,NA
KLF4,1
AXL,NA
HMGA2,1
AP3B1,NA
CDC34,NA
SMC3,NA
CBX2,NA
SELP,NA
SPG21,0
MEX3A,NA
PHF1,NA
EPC2,NA
SNRPD1,NA
MLANA,NA
PRKCE,NA
RSL1D1,NA
RAB11FIP5,0
EIF4E2,NA
DNAJC3,NA
CPSF7,0
TUT1,0
FBH1,0
RGS3,NA
ELF1,NA
MAGOHB,0
SCMH1,NA
ADNP,NA
NUDT2,NA
CMC4,0
ZCCHC8,1
AKAP9,1
PYDC1,NA
NOLC1,NA
CAMP,NA
MLST8,NA
RBM8A,NA
CNPY3,NA
NEU4,NA
CHEK1,NA
CARD8,NA
HNF1A,1
SLC9A3R1,NA
NECAB2,NA
HSF4,NA
MRRF,0
QPCTL,0
NDUFS3,NA
NDUFA9,NA
KRT33B,NA
KPNA4,NA
ERCC3,1
MLLT6,1
UBQLN1,NA
ELF4,1
PSMA7,NA
SENP1,NA
MID1,NA
CCDC106,NA
RPL7L1,NA
ZMYND11,NA
PRDM16,1
C1QA,NA
ACTG1,NA
WDYHV1,0
ETV5,1
HERPUD1,1
DDX19B,0
PDIA6,NA
FBXO21,NA
ZNF687,NA
LILRB2,NA
HOMER2,NA
TAOK2,NA
ATG14,NA
RBM5,0
MSRB2,NA
PUF60,NA
ABCF1,NA
VGF,NA
TECPR1,NA
WIPI2,NA
WDR5,0
CXCR1,NA
TFG,1
LTC4S,NA
MAPKAP1,NA
SPRY4,NA
RRP1B,NA
STAU2,NA
BBX,0
MUC16,1
LGALS1,NA
ZNF385B,NA
DCTN1,1
RPL19,NA
SHARPIN,NA
RBCK1,NA
GPSM1,0
LRRC7,NA
ZNF638,NA
ALX1,NA
IPO13,NA
ATP2B1,NA
CTR9,0
RPL17,NA
ARHGAP32,NA
CRX,NA
ABI3,NA
CTSD,NA
ZC3H15,0
P4HB,NA
SAMHD1,NA
CARD16,NA
IGBP1,NA
TRIO,NA
KRTAP10-5,0
ADAP2,NA
BLOC1S1,0
CIRBP,NA
TRA2A,NA
FYTTD1,NA
ZC3H3,0
KDM2A,NA
PURA,NA
FBXO22,NA
SDHAF2,1
PELI2,NA
RPL14,NA
TLR5,NA
SFXN2,NA
PSPC1,NA
GUCY1A2,NA
TIGIT,NA
UTP15,NA
HK1,NA
IDO1,NA
AJUBA,NA
DCUN1D1,NA
KRT2,NA
FBXO25,NA
HTR2B,NA
CCT5,NA
KRT6B,NA
BABAM2,NA
ABRAXAS2,0
NUAK1,NA
ATG3,0
RAB40B,0
FLNC,NA
TRIM63,NA
STRADB,NA
CTNNAL1,NA
BRD7,NA
HNRNPUL1,NA
CEACAM1,NA
CPLX3,0
ETV1,1
ERG,1
IRF6,NA
BAG3,NA
TUBA8,NA
RB1CC1,NA
ARF6,NA
MAPK8IP3,NA
HNRNPM,0
NMU,0
RBM39,NA
FAM9B,NA
PPP1R14A,NA
CLEC7A,NA
MAGOH,NA
PABPN1,NA
EGLN1,NA
NOD1,NA
TUBA1C,0
PSMA1,NA
TCEA2,0
DEDD,NA
DEDD2,NA
LAMB1,NA
ZNF615,0
CXCL12,1
BRD3,1
RRP8,NA
NLRC5,NA
LUC7L3,NA
CALCOCO2,0
NFXL1,0
TBX3,1
LILRB4,NA
NUP62,NA
BFSP1,NA
CPSF1,0
FBF1,0
KCNJ3,NA
KCNJ6,NA
HIST1H1B,NA
HIST3H2BB,NA
UQCRC2,NA
ECH1,NA
ARL4C,NA
FAM53A,NA
CNBP,1
DDX21,NA
DTL,NA
WDR34,NA
DKC1,NA
PDS5B,NA
VDAC2,NA
FNBP1L,NA
ACSL4,NA
APEH,NA
IST1,NA
SIGIRR,NA
SSB,NA
RHOD,NA
RBM14,NA
PDIA2,NA
NCR1,NA
NHP2,0
PLEKHO1,NA
PHGDH,NA
MED1,NA
ANXA7,NA
INTS3,NA
SPRR2A,NA
HSPA14,NA
BUD31,NA
FBXO7,NA
NPM3,NA
NMRAL1,0
UCHL1,NA
YTHDC1,NA
NR3C2,NA
KLHDC2,NA
CHCHD3,NA
HHAT,NA
CAMK2B,NA
HERC5,NA
KCNB1,NA
DPP10,NA
RAP1B,NA
GORASP2,0
ZNF8,NA
KLC4,0
UBTF,NA
TEKT4,0
TEKT1,NA
UVRAG,NA
THOC2,NA
FANCA,1
LMNB1,NA
WWC1,NA
CLTCL1,1
RNF135,NA
KCNJ5,1
PARD6B,NA
BCL6B,NA
CHTOP,NA
ATG4A,NA
HMGB1,NA
TPSAB1,NA
KLF9,0
KRT15,NA
LTBR,NA
TLR7,NA
MED14,NA
ITGB3BP,NA
AKAP13,NA
MAP1LC3A,0
MDH2,NA
ASXL2,1
PRPF31,NA
PABPC4,NA
ARHGDIA,NA
RHOH,1
TTC3,NA
CLUAP1,NA
SIGLEC6,NA
FBXO6,NA
POLR2E,1
NDUFA4,NA
OTX2,NA
SMARCD2,NA
CDR2,NA
ATL3,NA
CSDC2,NA
CUTC,NA
BET1,NA
RAD23A,NA
HSPA1B,NA
PDS5A,NA
CELF1,NA
SRPK2,0
SMARCA1,NA
SHMT2,NA
NBR1,NA
GABARAP,NA
GTF2B,NA
HIST1H2BD,NA
KIR2DL4,NA
CYTIP,NA
SNX27,NA
TPM3,1
SQOR,NA
SNAPIN,NA
DDX27,NA
PBX2,NA
TRIM14,NA
SRSF3,1
EPN2,NA
MAPK8IP1,NA
RBM4,0
MRM1,NA
USO1,NA
PABPC1,1
NFATC4,NA
CCDC15,0
SRP14,NA
PEX5,NA
F2RL1,NA
TUBA3E,0
SCNM1,NA
PHF11,NA
UBE2L3,NA
HIST1H2AH,NA
MAPT,NA
KHDRBS3,NA
KCNH2,NA
MAPKAPK3,0
TEX10,NA
GOT2,NA
ATP5PB,0
PDK1,NA
LGALS8,NA
MMP3,NA
FURIN,NA
ARCN1,NA
CMTM5,NA
CD37,NA
C2,NA
NGDN,NA
SEC61B,NA
SSR2,NA
FBXL15,NA
INTS6,NA
NFU1,NA
KRR1,NA
KLF5,NA
PRPS1,NA
MEIS2,NA
RPS16,NA
HNRNPH2,NA
SMU1,NA
UMOD,NA
SHOC2,NA
BTF3,0
ATAD3A,NA
SEPT4,NA
PSMD11,NA
KDM1A,NA
KCTD9,NA
GSR,NA
LPCAT1,NA
NEFL,NA
PACSIN1,NA
HTRA2,NA
HNRNPL,NA
PATJ,NA
PBX3,NA
RASSF1,NA
TARBP2,NA
NPRL2,0
TFR2,NA
SULT2B1,NA
MAP9,0
PGC,NA
OLIG3,NA
SEPT9,NA
GATAD2B,NA
TIAL1,NA
FBXO9,NA
GZMM,NA
CEACAM8,NA
SLTM,0
WDR62,NA
NUDC,NA
ABCC4,NA
SRRT,NA
ACACA,NA
ATG4B,NA
RRP1,0
ACVR1B,1
EIF4G1,NA
GSPT2,NA
HYOU1,NA
AEN,0
PEA15,NA
BRAP,NA
MX1,NA
MRPL35,NA
TGFB2,NA
RPS9,NA
SNU13,0
SRSF5,NA
DUSP26,0
SNRPA,NA
ADH4,NA
PSMA5,NA
LZTS2,NA
DYNLT3,0
ZGPAT,0
WRNIP1,NA
HNRNPF,0
AARS,NA
AGPAT3,NA
ELAC2,NA
JARID2,0
SIK3,NA
PYCR1,NA
RPLP1,NA
RNF7,NA
NSUN2,NA
C1QC,NA
SNX20,NA
MEX3C,NA
RHOXF2,NA
LILRB1,NA
DAZAP1,NA
SIAH1,NA
CAD,NA
DHX9,NA
HNRNPU,NA
GTF3C1,NA
MAP4K4,NA
EXTL3,NA
EAF2,NA
ECHDC2,0
RPTOR,NA
MYLK2,NA
DYNC1H1,NA
USP14,NA
DYRK1B,NA
PLS1,NA
BNIP3,NA
RCN1,NA
RASL11B,NA
BCR,1
ADAM17,NA
SUGP2,NA
KCNJ9,NA
DRD4,NA
RHOC,NA
RIPOR2,NA
ADA,NA
ANK3,NA
FBXW2,NA
MECP2,NA
SCLT1,NA
ARHGEF11,0
MMP10,NA
ADAMTSL1,NA
RBM4B,0
NPAS2,NA
PCNP,NA
HSD17B12,0
MYL6,NA
ACTR1B,NA
APEX1,1
TUBB4B,NA
CA2,NA
HSPA9,NA
RPL27A,NA
USE1,0
SMC1A,1
PADI1,NA
NPLOC4,0
PFN2,NA
ERCC5,NA
ARG2,NA
MUC5AC,NA
SFTPA1,NA
SH3RF1,0
GRIN2C,NA
CUL7,NA
TRPA1,NA
RPS4X,NA
TPI1,NA
VPS37B,NA
HSPD1,NA
ESRRG,NA
NR0B1,NA
RPS23,NA
PCBP1,1
KRT19,NA
CRIP2,NA
CCHCR1,NA
GEMIN2,NA
PF4,NA
AKNA,0
APRT,NA
TNIK,NA
RBM34,0
PARD6G,NA
SCAF11,NA
CBX6,NA
MRPS26,NA
TRIM54,NA
ERC1,1
STIP1,NA
CEBPZ,NA
ZMAT2,0
C3AR1,NA
NAP1L4,NA
DDX39B,NA
ADRM1,NA
CSTB,NA
SNRNP70,0
TLR8,NA
EIF3L,0
PURB,NA
DNAJA1,0
HOMEZ,NA
DHX15,NA
RHOG,0
ZNF787,0
COPRS,0
KIF3B,NA
NDUFV1,NA
PGR,1
THAP11,NA
E4F1,NA
NEK2,NA
MCM6,NA
BIRC7,NA
C4B,NA
C4B_2,0
TRIM41,NA
RAB2A,0
DCAF5,NA
TBC1D4,NA
BNIP2,NA
SERBP1,NA
ORM1,NA
ATXN7,NA
NUP107,NA
SSX7,NA
PPBP,NA
SELL,NA
ATP5F1A,0
RPS6KA4,NA
CSNK1D,NA
HNRNPA0,0
NUP210,NA
OAT,NA
PRKRA,NA
ULK1,NA
ELN,1
NID2,NA
ZFYVE1,NA
CDH24,NA
RPN2,NA
PBRM1,1
RTCB,NA
NDUFA13,NA
PNMA2,NA
SPTLC1,NA
TDRD1,NA
SERPIND1,0
PHLPP1,NA
A1BG,NA
ALOX12,NA
SCGB3A2,NA
MARCO,NA
GYG2,NA
ENO1,NA
PDIA3,0
SPSB1,0
TDP2,NA
TCEAL4,0
ZNF80,NA
RPL7,NA
EGR4,NA
SLC27A3,NA
PGRMC1,NA
LPP,1
MERTK,NA
TIMM50,NA
KIF5B,1
RPS19,NA
KLF6,1
PRPF19,NA
RNPS1,NA
USP4,NA
DUSP19,0
RBM28,NA
UTP6,0
IL17RB,NA
DEFB4B,0
DEFB4A,NA
KIF3A,NA
PHF8,NA
CAMK1G,NA
RER1,0
RUBCN,NA
HNRNPAB,0
TKT,NA
ZMYM2,1
HIST2H2AB,NA
RPS6KA3,NA
KRTAP10-3,0
SERPINA1,NA
SPTAN1,NA
DIAPH1,NA
SNRPN,NA
PON2,NA
PNRC2,NA
ELP3,NA
HNRNPR,0
CLEC3B,0
KRT10,NA
FEM1B,NA
EIF1,0
TP53INP2,NA
FOXP2,NA
MRPS18A,NA
NDFIP1,NA
ZNF410,0
LTK,NA
AGTRAP,0
IL17B,NA
KIF2C,NA
UTP23,0
BCAP31,NA
ALDOC,NA
ALDOA,NA
PRKD3,0
ZMYM3,1
MSX1,NA
RAD17,1
ARFIP2,NA
MRPL10,NA
S100A12,NA
SIAH2,NA
RAD51AP1,NA
RPF2,0
EBNA1BP2,NA
SRP9,NA
SOD1,NA
RIT2,NA
UTP20,NA
ELOA,0
RPS2,NA
DHX8,NA
RUFY1,NA
DDX50,NA
NUSAP1,NA
SYNE1,NA
MBD1,NA
SNX17,NA
ABR,NA
UBAP1,NA
NFAT5,NA
AGPAT2,NA
AJAP1,NA
CCL8,NA
CSRP2,NA
H2AFY,NA
MPP1,NA
DDR1,0
ADRA2A,NA
CALB1,NA
SAR1A,0
PRPF8,NA
S100A4,NA
MAP3K13,1
HBZ,NA
PHF5A,NA
FNDC3A,NA
STXBP5,NA
STXBP2,NA
UBL5,NA
CORO1A,NA
TARDBP,NA
CIZ1,NA
BCKDK,NA
LYL1,1
PRPSAP2,NA
GNL3,NA
TPD52L1,NA
GOSR2,NA
EGLN2,NA
NBPF3,NA
SSX1,1
WDR45,NA
RGS7,1
EIF2B5,NA
KCNA5,NA
CLIC4,NA
FAM110A,NA
